EVSE_Type,Year,Accessibility
All EVSE,Year2014,7.714307475
All EVSE,Year2014,99.48948908
All EVSE,Year2014,404.4274162
All EVSE,Year2014,467.5684419
All EVSE,Year2014,77.87042117
All EVSE,Year2014,449.714114
All EVSE,Year2014,333.6257676
All EVSE,Year2014,35.40753341
All EVSE,Year2014,104.2844672
All EVSE,Year2014,131.4444639
All EVSE,Year2014,123.5313956
All EVSE,Year2014,82.82339369
All EVSE,Year2014,149.499932
All EVSE,Year2014,210.9700421
All EVSE,Year2014,55.50504285
All EVSE,Year2014,34.5002569
All EVSE,Year2014,64.15301251
All EVSE,Year2014,24.82524419
All EVSE,Year2014,618.879027
All EVSE,Year2014,24.43957351
All EVSE,Year2014,276.4444895
All EVSE,Year2014,60.15929586
All EVSE,Year2014,226.980789
All EVSE,Year2014,145.9987111
All EVSE,Year2014,114.5896553
All EVSE,Year2014,221.9810982
All EVSE,Year2014,122.0107353
All EVSE,Year2014,28.2710288
All EVSE,Year2014,219.0236159
All EVSE,Year2014,216.4957681
All EVSE,Year2014,65.62088189
All EVSE,Year2014,100.4678031
All EVSE,Year2014,203.9091266
All EVSE,Year2014,349.1293223
All EVSE,Year2014,77.69078083
All EVSE,Year2014,58.3427542
All EVSE,Year2014,137.6538746
All EVSE,Year2014,373.2759926
All EVSE,Year2014,93.54402622
All EVSE,Year2014,170.8221984
All EVSE,Year2014,120.3191561
All EVSE,Year2014,87.64136831
All EVSE,Year2014,187.9424075
All EVSE,Year2014,7.343202991
All EVSE,Year2014,171.43466
All EVSE,Year2014,143.5692255
All EVSE,Year2014,189.2396592
All EVSE,Year2014,29.61917177
All EVSE,Year2014,202.8722523
All EVSE,Year2014,20.00048322
All EVSE,Year2014,168.8715174
All EVSE,Year2014,51.81565862
All EVSE,Year2014,294.6231516
All EVSE,Year2014,7.352775822
All EVSE,Year2014,151.5554334
All EVSE,Year2014,225.357945
All EVSE,Year2014,121.0200398
All EVSE,Year2014,113.7161185
All EVSE,Year2014,107.2073576
All EVSE,Year2014,92.68316542
All EVSE,Year2014,51.34068823
All EVSE,Year2014,49.67671817
All EVSE,Year2014,6.198354423
All EVSE,Year2014,45.57124833
All EVSE,Year2014,78.99719696
All EVSE,Year2014,43.06399103
